clusterID,atomID,clusterSize,atomCoordx,atomCoordy,atomCoordz,xcm,ycm,zcm,rgxx,rgyy,rgzz,rgxy,rgxz,rgyz,l1,l2,l3,rg,asphericity,acylindricity,anisotropy,aspectratio
1750,1749,17,16.146944046020508,-8.160633087158203,-23.73130416870117,16.820813740001004,-8.844091583700742,-23.80597877502441,0.5682862258311089,0.4830546954269839,0.5328030774891137,0.1473139214099996,-0.0172519325856496,0.1038604759950271,0.3282334405181422,0.5595835956432812,0.6963269625857826,1.258627823761737,0.2524184445050709,0.231350155125139,0.0413854299934711,1.456515777537546
1771,1770,25,10.774456024169922,16.325857162475586,-23.784791946411133,9.588655452728272,15.495680046081542,-24.439317626953127,0.8889829194787394,0.6004065551007081,1.5485573586633776,-0.1045227407116144,0.8749352697169174,-0.1573231974678638,0.2837032302733559,0.5778199947650602,2.176423608204407,1.7429706920206154,1.7456619956851989,0.2941167644917042,0.3372167641416394,2.769743639415805
1791,1790,17,7.7897796630859375,21.53360939025879,-20.10301780700684,7.342321592218735,22.71466490801643,-19.5680591358858,0.5437426304164401,0.5323710190648123,0.6509645722895728,-0.1570945680780581,-0.1092083637709777,-0.1668351057867761,0.2772528815593641,0.6810825966633237,0.7687427435481374,1.3141834810142856,0.2895750044367935,0.4038297151039596,0.0691171277614658,1.6651466208499104
1810,1809,29,15.358732223510742,23.80045509338379,-26.67734718322754,15.601257916154532,23.44435080166521,-25.71998043718009,0.95513197874948,0.988282873828244,1.8172069937686584,-0.637636104320855,-0.9462575859746304,0.867492913829932,0.3119741551891706,0.4483218033482319,3.00032588780898,1.9392322827207635,2.620177908540279,0.1363476481590612,0.4864333687709613,3.101165229305749
1830,1829,18,16.551252365112305,20.79757308959961,23.701885223388672,16.84551403257582,21.34208499060737,22.568986044989693,0.4201874733971439,1.1824070791418295,0.4308069596680767,0.3153538943238121,-0.046629589884532,-0.373504121956316,0.2231988862824447,0.3786701272001686,1.4315324987244364,1.4259738820213537,1.1305979919831295,0.1554712409177238,0.3135350793872336,2.5325299746513696
1851,1850,12,-21.84001922607422,-1.276431679725647,11.462512969970703,-21.702765305836994,-1.4808940837780635,10.951931476593018,0.4307949135439281,0.6365267418361851,0.1971639786148292,0.0742153662522318,-0.0541676300113825,0.0891012554131004,0.1623562391756668,0.4313103486370188,0.6708190461822569,1.1244935010905766,0.373985752275914,0.268954109461352,0.1214051371655869,2.0326761945838685
1871,1870,17,-23.682992935180664,-5.734257698059082,15.644243240356444,-23.197962143841917,-6.894491335924934,16.136002708883847,0.3557559111497262,0.6287311021717484,0.8013164049267435,-0.1819837647378326,-0.0240667684287548,-0.2596243120691595,0.2250607420049312,0.5595025689149711,1.0012401073283157,1.3363395594863672,0.6089584518683645,0.3344418269100398,0.1425856118934462,2.1092072033808136
1931,1930,22,-18.613994598388672,14.656982421875,21.87744140625,-18.32737818631259,15.053426265716553,22.5795276815241,0.3001784244812626,0.910418521780457,1.2093533345345546,0.009419172545842,0.0594367460813854,-0.4233894973232384,0.2930965885169251,0.6164336902787412,1.510420002000608,1.5556189381710015,1.0556548626027749,0.323337101761816,0.2036859443759849,2.2700921262240232
1951,1950,45,-27.34223937988281,16.00786590576172,23.077600479125977,-25.47509036593967,12.225870619879828,25.312041812472877,2.566902922733876,5.149214685577787,2.241581438047819,-3.1396306291888694,2.029893432440538,-2.768902559109479,0.3503958075397742,0.6117359901092584,8.995567248710449,3.1555822040250323,8.514501349885933,0.2613401825694841,0.7316564334838106,5.066812422805573
1970,1969,20,-23.486331939697266,19.334138870239254,15.610576629638672,-24.498324489593507,19.026025772094727,14.743657684326172,0.3728514942600577,0.5080694706997747,1.343523741164372,-0.0510499536134375,-0.2112333171270075,0.0292936744910548,0.3185779520140627,0.5166305143736641,1.3892362397364777,1.491457242472678,0.971632006542614,0.1980525623596014,0.1967374742030526,2.088238959060258
2011,2010,13,-15.250764846801758,20.92019844055176,27.191394805908203,-15.037942079397348,21.06579839266264,25.762872989361103,0.306905889239134,0.4676332885156469,0.5300050905967487,-0.0070391575836604,-0.114649385893831,-0.0792321777501849,0.2515682101949989,0.4397262910751111,0.6132497670814194,1.142166480138307,0.2676025164463644,0.1881580808801122,0.0576810684985495,1.561316020527338
2031,2030,27,-19.025279998779297,25.797571182250977,25.84610939025879,-16.310379452175564,27.91938266047725,27.25513211003056,1.7541734912482538,2.248212672287335,0.5604932918501152,1.7020692752551445,-0.2484970608786746,-0.2171768004771337,0.273112258257135,0.5352238956384209,3.75454330149015,2.136089758269934,3.3503752245423724,0.2621116373812858,0.5416240164153995,3.707728814618884
2050,2049,18,-17.88324737548828,17.361656188964844,-26.519519805908203,-17.469910833570694,16.430133395724827,-26.18537712097168,0.8227868074432138,0.7832984005053957,0.2396879423019224,-0.1945501618747472,-0.0609752995246203,0.0801766169805786,0.2260940744695575,0.6083721400982494,1.0113069356827238,1.3585923414514491,0.5940738283988203,0.3822780656286918,0.1357624289131672,2.114934407145105
2070,2069,24,-22.383037567138672,23.376548767089844,-25.390216827392575,-22.67224725087484,22.331340154012043,-24.09169928232829,0.5187062803050949,0.5693321857478522,1.65951747990544,-0.2555577826176178,0.32374048398631,-0.4537481818269446,0.2818933343337607,0.5328334888788433,1.932829122745784,1.6575753213529658,1.5254657111394816,0.2509401545450826,0.3145123631992986,2.6185105440094194
2091,2090,21,-0.0522548072040081,-12.884359359741213,8.395949363708496,-0.2199580123027165,-14.053112847464424,9.347935790107364,0.5008127330422616,0.3567508794541664,1.273650973381486,-0.021641896751839,0.0484096249370596,-0.120570443944345,0.3396919578468766,0.4990231844932061,1.292499443537832,1.459868002895438,0.8731418723677907,0.1593312266463294,0.1720395312702089,1.9506194477092385
2111,2110,13,-5.868229389190674,-10.01508331298828,10.34748649597168,-7.026887343480037,-9.868700100825382,11.457039979787972,0.538191637301499,0.3758660497697483,0.4235070166446483,0.1161998742665657,-0.1709932611157703,0.0602320972526533,0.2127384576646989,0.4502813946038115,0.6745448514473852,1.1565313241395132,0.3430349253131299,0.2375429369391125,0.0894275294987781,1.780665780167152
2130,2129,25,0.9562154412269592,-7.837113857269287,4.280463695526123,1.306449942588806,-7.494388370513916,4.303168830871582,0.9337240939931434,1.2823454845860596,0.8518723214999145,-0.7478210735138064,-0.4121494515225143,0.7628504212080106,0.2203040448901564,0.4854770082043659,2.3621608469845943,1.7515541384950444,2.009270320437333,0.2651729633142095,0.4345291657894844,3.2744887134927825
